hour_start_local,hour_start_utc,nuclear_mw_avg
2023-12-01 00:00:00-05:00,2023-12-01 05:00:00+00:00,2120.798611111111
2023-12-01 01:00:00-05:00,2023-12-01 06:00:00+00:00,2121.0416666666665
2023-12-01 02:00:00-05:00,2023-12-01 07:00:00+00:00,2120.9583333333335
2023-12-01 03:00:00-05:00,2023-12-01 08:00:00+00:00,2121.25
2023-12-01 04:00:00-05:00,2023-12-01 09:00:00+00:00,2121.5416666666665
2023-12-01 05:00:00-05:00,2023-12-01 10:00:00+00:00,2121.25
2023-12-01 06:00:00-05:00,2023-12-01 11:00:00+00:00,2120.7916666666665
2023-12-01 07:00:00-05:00,2023-12-01 12:00:00+00:00,2121.0416666666665
2023-12-01 08:00:00-05:00,2023-12-01 13:00:00+00:00,2120.625
2023-12-01 09:00:00-05:00,2023-12-01 14:00:00+00:00,2121.7916666666665
2023-12-01 10:00:00-05:00,2023-12-01 15:00:00+00:00,2121.5833333333335
2023-12-01 11:00:00-05:00,2023-12-01 16:00:00+00:00,2121.5416666666665
2023-12-01 12:00:00-05:00,2023-12-01 17:00:00+00:00,2121.5416666666665
2023-12-01 13:00:00-05:00,2023-12-01 18:00:00+00:00,2120.875
2023-12-01 14:00:00-05:00,2023-12-01 19:00:00+00:00,2121.5833333333335
2023-12-01 15:00:00-05:00,2023-12-01 20:00:00+00:00,2122.5833333333335
2023-12-01 16:00:00-05:00,2023-12-01 21:00:00+00:00,2121.4166666666665
2023-12-01 17:00:00-05:00,2023-12-01 22:00:00+00:00,2121.0
2023-12-01 18:00:00-05:00,2023-12-01 23:00:00+00:00,2120.7083333333335
2023-12-01 19:00:00-05:00,2023-12-02 00:00:00+00:00,2120.4583333333335
2023-12-01 20:00:00-05:00,2023-12-02 01:00:00+00:00,2124.625
2023-12-01 21:00:00-05:00,2023-12-02 02:00:00+00:00,2170.0416666666665
2023-12-01 22:00:00-05:00,2023-12-02 03:00:00+00:00,2217.402777777778
2023-12-01 23:00:00-05:00,2023-12-02 04:00:00+00:00,2258.4583333333335
2023-12-02 00:00:00-05:00,2023-12-02 05:00:00+00:00,2302.7916666666665
2023-12-02 01:00:00-05:00,2023-12-02 06:00:00+00:00,2361.5
2023-12-02 02:00:00-05:00,2023-12-02 07:00:00+00:00,2374.5416666666665
2023-12-02 03:00:00-05:00,2023-12-02 08:00:00+00:00,2447.75
2023-12-02 04:00:00-05:00,2023-12-02 09:00:00+00:00,2516.8333333333335
2023-12-02 05:00:00-05:00,2023-12-02 10:00:00+00:00,2551.375
2023-12-02 06:00:00-05:00,2023-12-02 11:00:00+00:00,2551.1666666666665
2023-12-02 07:00:00-05:00,2023-12-02 12:00:00+00:00,2548.9166666666665
2023-12-02 08:00:00-05:00,2023-12-02 13:00:00+00:00,2550.4583333333335
2023-12-02 09:00:00-05:00,2023-12-02 14:00:00+00:00,2562.7083333333335
2023-12-02 10:00:00-05:00,2023-12-02 15:00:00+00:00,2569.8333333333335
2023-12-02 11:00:00-05:00,2023-12-02 16:00:00+00:00,2582.4375
2023-12-02 12:00:00-05:00,2023-12-02 17:00:00+00:00,2637.6041666666665
2023-12-02 13:00:00-05:00,2023-12-02 18:00:00+00:00,2653.9166666666665
2023-12-02 14:00:00-05:00,2023-12-02 19:00:00+00:00,2666.222222222222
2023-12-02 15:00:00-05:00,2023-12-02 20:00:00+00:00,2660.777777777778
2023-12-02 16:00:00-05:00,2023-12-02 21:00:00+00:00,2677.2083333333335
2023-12-02 17:00:00-05:00,2023-12-02 22:00:00+00:00,2688.347222222222
2023-12-02 18:00:00-05:00,2023-12-02 23:00:00+00:00,2685.8194444444443
2023-12-02 19:00:00-05:00,2023-12-03 00:00:00+00:00,2686.9166666666665
2023-12-02 20:00:00-05:00,2023-12-03 01:00:00+00:00,2686.625
2023-12-02 21:00:00-05:00,2023-12-03 02:00:00+00:00,2549.9166666666665
2023-12-02 22:00:00-05:00,2023-12-03 03:00:00+00:00,2307.8333333333335
2023-12-02 23:00:00-05:00,2023-12-03 04:00:00+00:00,2261.5416666666665
