interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-01-01T01:00:00-05:00,2024-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,19.610447,19.4,0.44343,-0.232983
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-01-01T01:00:00-05:00,2024-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,AEP GEN HUB,34497125,AEP GEN HUB,HUB,19.207895,19.4,0.349211,-0.541316
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-01-01T01:00:00-05:00,2024-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,ATSI GEN HUB,116013751,ATSI GEN HUB,HUB,19.5275,19.4,0.414773,-0.287273
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-01-01T01:00:00-05:00,2024-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO GEN HUB,33092311,CHICAGO GEN HUB,HUB,18.974154,19.4,0.579231,-1.005077
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-01-01T01:00:00-05:00,2024-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,19.169409,19.4,0.58,-0.810591
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-01-01T01:00:00-05:00,2024-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,DOMINION HUB,35010337,DOMINION HUB,HUB,20.476255,19.4,0.594742,0.481513
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-01-01T01:00:00-05:00,2024-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,EASTERN HUB,51217,EASTERN HUB,HUB,17.722335,19.4,-1.898175,0.22051
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-01-01T01:00:00-05:00,2024-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,NEW JERSEY HUB,4669664,NEW JERSEY HUB,HUB,18.122677,19.4,-1.253928,-0.023395
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-01-01T01:00:00-05:00,2024-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,N ILLINOIS HUB,33092315,N ILLINOIS HUB,HUB,19.079079,19.4,0.579703,-0.900624
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-01-01T01:00:00-05:00,2024-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,OHIO HUB,34497151,OHIO HUB,HUB,19.620089,19.4,0.490111,-0.270022
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-01-01T01:00:00-05:00,2024-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,WESTERN HUB,51288,WESTERN HUB,HUB,19.97604,19.4,0.291562,0.284478
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-01-01T01:00:00-05:00,2024-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,WEST INT HUB,51287,WEST INT HUB,HUB,19.751667,19.4,0.47,-0.118333
