question_id,category,difficulty,strategy,approach_mean,approach_ci,accuracy_mean,accuracy_ci,sources_mean,sources_ci,Failed,iterations,tool_calls,tokens,duration_s,total_input_tokens,total_output_tokens,total_cached_tokens,input_tokens,output_tokens,cached_tokens,reasoning_tokens
1,Knowledge retrieval and interpretation,Easy,attributes,5.0,"[5.000, 5.000]",0.2,"[0.200, 0.200]",3.0,"[3.000, 3.000]",False,16,15,556760,123.4,554411,2349,502272,554411,2349,502272,0
3,Knowledge retrieval and interpretation,Easy,attributes,5.0,"[5.000, 5.000]",0.0,"[0.000, 0.000]",1.0,"[1.000, 1.000]",True,11,10,332203,331.8,330676,1527,246720,330676,1527,246720,0
19,Knowledge retrieval and interpretation,Easy,attributes,4.0,"[4.000, 4.000]",0.25,"[0.250, 0.250]",2.0,"[2.000, 2.000]",False,6,5,102403,54.1,101291,1112,90560,101291,1112,90560,0
20,Knowledge retrieval and interpretation,Easy,attributes,5.0,"[5.000, 5.000]",0.0,"[0.000, 0.000]",1.0,"[1.000, 1.000]",True,8,7,235960,93.3,234550,1410,191360,234550,1410,191360,0
22,Knowledge retrieval and interpretation,Medium,attributes,4.0,"[4.000, 4.000]",0.6,"[0.600, 0.600]",3.0,"[3.000, 3.000]",False,12,11,385392,196.6,382670,2722,302016,382670,2722,302016,0
24,Knowledge retrieval and interpretation,Medium,attributes,4.0,"[4.000, 4.000]",1.0,"[1.000, 1.000]",3.0,"[3.000, 3.000]",False,17,16,734880,171.2,733147,1733,592320,733147,1733,592320,0
40,Knowledge retrieval and interpretation,Medium,attributes,5.0,"[5.000, 5.000]",0.2,"[0.200, 0.200]",4.0,"[4.000, 4.000]",False,7,6,154138,93.2,152420,1718,122496,152420,1718,122496,0
41,Knowledge retrieval and interpretation,Medium,attributes,5.0,"[5.000, 5.000]",0.8,"[0.800, 0.800]",2.0,"[2.000, 2.000]",False,4,6,109986,103.1,108707,1279,57152,108707,1279,57152,0
43,Markets data retrieval only,Medium,attributes,5.0,"[5.000, 5.000]",0.75,"[0.750, 0.750]",1.0,"[1.000, 1.000]",False,5,4,70929,74.2,69429,1500,62144,69429,1500,62144,0
65,Markets data retrieval only,Easy,attributes,5.0,"[5.000, 5.000]",0.5,"[0.500, 0.500]",3.0,"[3.000, 3.000]",False,5,5,77516,77.8,75235,2281,68928,75235,2281,68928,0
124,Markets data retrieval and analysis,Medium,accuracy,5.0,"[5.000, 5.000]",0.95,"[0.950, 0.950]",2.0,"[2.000, 2.000]",False,5,4,70521,80.3,69502,1019,48832,69502,1019,48832,0
127,Markets data retrieval and analysis,Medium,accuracy,4.0,"[4.000, 4.000]",1.0,"[1.000, 1.000]",3.0,"[3.000, 3.000]",False,9,8,131502,256.1,130251,1251,112256,130251,1251,112256,0
140,Markets data retrieval and analysis,Medium,accuracy,4.0,"[4.000, 4.000]",1.0,"[1.000, 1.000]",3.0,"[3.000, 3.000]",False,11,10,712079,104.8,710666,1413,638688,710666,1413,638688,0
141,Markets data retrieval and analysis,Medium,accuracy,2.0,"[2.000, 2.000]",0.0,"[0.000, 0.000]",2.0,"[2.000, 2.000]",False,23,41,1834410,213.2,1828943,5467,1632096,1828943,5467,1632096,0
144,Markets data retrieval and analysis,Medium,accuracy,4.0,"[4.000, 4.000]",0.1,"[0.100, 0.100]",2.0,"[2.000, 2.000]",False,21,20,1949873,224.5,1946296,3577,1682496,1946296,3577,1682496,0
153,Markets data retrieval and analysis,Medium,accuracy,5.0,"[5.000, 5.000]",0.0,"[0.000, 0.000]",1.0,"[1.000, 1.000]",True,4,4,57993,30.9,57356,637,52544,57356,637,52544,0
156,Markets data retrieval and analysis,Medium,accuracy,4.0,"[4.000, 4.000]",0.9,"[0.900, 0.900]",3.0,"[3.000, 3.000]",False,7,6,99819,68.5,98679,1140,81728,98679,1140,81728,0
172,Markets data retrieval and analysis,Medium,accuracy,3.0,"[3.000, 3.000]",0.0,"[0.000, 0.000]",2.0,"[2.000, 2.000]",False,20,19,1942873,260.9,1938718,4155,1682432,1938718,4155,1682432,0
188,Knowledge retrieval and interpretation,Easy,attributes,3.0,"[3.000, 3.000]",0.4,"[0.400, 0.400]",2.0,"[2.000, 2.000]",False,8,7,660899,203.0,657335,3564,475136,657335,3564,475136,0
196,Knowledge retrieval and interpretation,Easy,attributes,2.0,"[2.000, 2.000]",0.75,"[0.750, 0.750]",3.0,"[3.000, 3.000]",False,3,2,189709,121.3,186838,2871,103680,186838,2871,103680,0
204,Knowledge retrieval and interpretation,Easy,attributes,5.0,"[5.000, 5.000]",1.0,"[1.000, 1.000]",3.0,"[3.000, 3.000]",False,2,1,25551,28.0,24849,702,23232,24849,702,23232,0
208,Knowledge retrieval and interpretation,Hard,attributes,3.0,"[3.000, 3.000]",0.0,"[0.000, 0.000]",1.0,"[1.000, 1.000]",True,10,18,287686,141.2,286110,1576,230336,286110,1576,230336,0
213,Knowledge retrieval and interpretation,Medium,attributes,4.0,"[4.000, 4.000]",0.5,"[0.500, 0.500]",2.0,"[2.000, 2.000]",False,6,5,456585,126.8,454641,1944,365056,454641,1944,365056,0
221,Knowledge retrieval and interpretation,Medium,attributes,4.0,"[4.000, 4.000]",0.6,"[0.600, 0.600]",2.0,"[2.000, 2.000]",False,3,2,189804,133.1,186806,2998,103680,186806,2998,103680,0
229,Knowledge retrieval and interpretation,Medium,attributes,5.0,"[5.000, 5.000]",1.0,"[1.000, 1.000]",4.0,"[4.000, 4.000]",False,2,1,25649,47.7,24846,803,23232,24846,803,23232,0
232,Advanced quantitative modeling and decision analytics,Hard,accuracy,4.0,"[4.000, 4.000]",0.5,"[0.500, 0.500]",2.0,"[2.000, 2.000]",False,19,24,415770,483.7,406998,8772,337856,406998,8772,337856,0
234,Advanced quantitative modeling and decision analytics,Hard,accuracy,1.0,"[1.000, 1.000]",0.0,"[0.000, 0.000]",1.0,"[1.000, 1.000]",True,25,25,315398,79.2,314436,962,310656,314436,962,310656,0
244,Advanced quantitative modeling and decision analytics,Hard,accuracy,4.0,"[4.000, 4.000]",0.0,"[0.000, 0.000]",2.0,"[2.000, 2.000]",True,15,15,386793,450.3,376650,10143,337472,376650,10143,337472,0
245,Advanced quantitative modeling and decision analytics,Hard,accuracy,3.0,"[3.000, 3.000]",1.0,"[1.000, 1.000]",2.0,"[2.000, 2.000]",False,13,12,240078,279.8,233737,6341,221824,233737,6341,221824,0
249,Advanced quantitative modeling and decision analytics,Hard,accuracy,4.0,"[4.000, 4.000]",0.0,"[0.000, 0.000]",2.0,"[2.000, 2.000]",True,25,28,622653,540.6,609000,13653,568512,609000,13653,568512,0
